,Jurisdiction,year,County,DiversionRateHouse,DiversionRateNoOfEmployee,Bins,D.R.E_category,D.R.H_category,Population,MedianAge,Latino,White,Black,Asian,LaberFocre,LaberForceEmplyed,LaberForceUnemployed,UnemploymentRate,FemalesEmploymentRate,CoummuteTime,MedianIncome,PovertyRate,TotalUnit,1-UnitDetached,1-UnitAttached,MoreThan20UnitsInStructure,MedianNoOfRooms,MedianHouseValue,MedianGrossRent
704,San Jose,2014,Santa Clara,0.7019230769230769,0.7172413793103449,"(0.65, 0.8]",Good,Good,939688.0,35.0,33.0,29.1,2.8,31.8,497131.0,449911.0,47220.0,9.5,60.9,25.3,80764.0,11.1,315255.0,55.2,10.4,12.8,5.2,605400.0,1390.0
705,San Juan Capistrano,2014,Orange,0.7796610169491526,0.779585798816568,"(0.65, 0.8]",Good,Good,34455.0,39.9,37.7,56.9,0.0,3.3,16884.0,15610.0,1274.0,7.5,55.0,23.6,73806.0,11.8,12021.0,52.9,21.4,4.1,5.8,598900.0,1773.0
706,San Leandro,2014,Alameda,0.735632183908046,0.7472527472527473,"(0.65, 0.8]",Good,Good,83877.0,37.4,26.0,26.3,13.3,29.2,44628.0,40056.0,4572.0,10.2,61.2,27.3,61857.0,9.9,30929.0,59.5,6.2,17.7,5.0,437200.0,1182.0
707,San Marcos,2014,San Diego,0.7247191011235955,0.668421052631579,"(0.65, 0.8]",Good,Good,80709.0,33.1,36.6,49.1,2.7,8.8,36728.0,33823.0,2905.0,7.9,53.1,26.0,55815.0,12.9,27318.0,52.5,7.5,10.4,6.0,409200.0,1259.0
708,San Marino,2014,Los Angeles,0.6764705882352942,0.7027027027027026,"(0.65, 0.8]",Good,Good,13131.0,46.0,6.5,39.4,0.0,51.8,5801.0,5587.0,214.0,3.7,47.6,24.6,154318.0,3.4,4684.0,98.3,1.0,0.0,7.3,1000000.0,2000.0
709,San Mateo,2014,San Mateo,0.6896551724137931,0.7255639097744362,"(0.65, 0.8]",Good,Good,95957.0,38.9,25.0,48.0,2.0,19.4,55220.0,51602.0,3618.0,6.6,64.0,23.7,86772.0,5.9,39675.0,45.2,9.4,22.7,4.6,740600.0,1538.0
711,San Ramon,2014,Contra Costa,0.7894736842105263,0.7134146341463414,"(0.65, 0.8]",Good,Good,69241.0,36.7,9.9,47.6,2.2,35.6,37740.0,35182.0,2558.0,6.8,66.1,31.7,124014.0,3.6,25240.0,62.1,12.0,8.5,6.2,731300.0,1632.0
712,Sand City,2014,Monterey,0.7964824120603016,0.7333333333333334,"(0.65, 0.8]",Good,Good,292.0,38.1,38.4,56.2,2.4,2.4,175.0,139.0,36.0,20.6,59.1,17.6,39500.0,29.1,140.0,44.3,4.3,25.7,3.3,662500.0,1260.0
713,Sanger,2014,Fresno,0.4843750000000001,0.49537037037037035,"(0.0, 0.5]",Low,Low,23814.0,27.4,76.6,14.4,2.5,4.3,11263.0,10009.0,1254.0,11.1,56.1,23.0,41987.0,23.5,6920.0,77.4,0.6,1.9,5.2,172600.0,830.0
714,Santa Ana,2014,Orange,0.6799999999999999,0.6775147928994083,"(0.65, 0.8]",Good,Good,325517.0,28.7,78.7,9.3,1.0,10.0,161928.0,145651.0,16277.0,10.1,57.4,24.7,54399.0,19.5,77262.0,45.9,7.4,16.6,4.5,371700.0,1269.0
715,Santa Barbara,2014,Santa Barbara,0.7183908045977011,0.7101449275362319,"(0.65, 0.8]",Good,Good,88192.0,35.8,38.4,54.0,1.7,3.8,50464.0,47267.0,3197.0,6.3,62.0,16.7,63401.0,14.2,38181.0,46.8,9.3,9.5,4.4,926100.0,1424.0
716,Santa Clara,2014,Santa Clara,0.6280487804878049,0.6166666666666667,"(0.5, 0.65]",Okay,Okay,114482.0,34.6,19.4,35.9,2.4,37.6,62421.0,57324.0,5097.0,8.2,60.7,20.9,89004.0,8.9,44706.0,41.8,10.0,20.8,4.5,629800.0,1487.0
718,Santa Clarita,2014,Los Angeles,0.6810344827586207,0.6266666666666667,"(0.65, 0.8]",Okay,Good,173993.0,35.9,29.8,54.4,2.3,8.9,94980.0,86462.0,8518.0,9.0,63.3,32.9,83579.0,7.7,60326.0,59.8,11.7,9.1,5.5,424400.0,1494.0
719,Santa Cruz,2014,Santa Cruz,0.7058823529411764,0.6950354609929078,"(0.65, 0.8]",Good,Good,59022.0,30.1,18.1,68.6,2.3,6.3,32773.0,30321.0,2452.0,7.5,59.9,22.3,63110.0,20.2,23815.0,56.2,10.1,9.8,4.6,695400.0,1369.0
721,Santa Fe Springs,2014,Los Angeles,0.8602520045819015,0.8686131386861313,"(0.8, 1.0]",Great,Great,16333.0,35.0,80.9,11.6,3.6,2.3,7208.0,6419.0,789.0,10.9,51.6,29.4,53638.0,8.1,4797.0,61.9,2.9,22.5,4.9,393600.0,1154.0
722,Santa Maria,2014,Santa Barbara,0.6499999999999999,0.6455696202531647,"(0.5, 0.65]",Okay,Okay,96803.0,28.7,70.1,22.4,1.1,4.9,44694.0,40066.0,4628.0,10.4,55.3,21.7,51664.0,16.8,28300.0,62.6,4.5,5.8,5.1,297400.0,1100.0
723,Santa Monica,2014,Los Angeles,0.7844036697247706,0.8111111111111111,"(0.65, 0.8]",Great,Good,89153.0,40.0,12.1,70.6,3.8,9.9,54774.0,50421.0,4353.0,7.9,64.7,25.8,71400.0,10.7,50873.0,18.2,3.9,25.4,3.9,987300.0,1447.0
724,Santa Paula,2014,Ventura,0.6372549019607843,0.6621621621621622,"(0.5, 0.65]",Good,Okay,29248.0,30.9,78.8,19.7,0.2,0.5,13967.0,12179.0,1788.0,12.8,55.9,24.8,53359.0,17.3,8933.0,57.7,9.5,5.3,4.9,355700.0,1094.0
725,Santee,2014,San Diego,0.6923076923076923,0.6953781512605042,"(0.65, 0.8]",Good,Good,53302.0,37.0,16.5,74.2,1.3,3.2,27723.0,25277.0,2446.0,8.8,59.8,23.6,69828.0,7.9,19260.0,55.1,8.5,5.8,5.5,350400.0,1242.0
726,Saratoga,2014,Santa Clara,0.6547619047619048,0.7061855670103092,"(0.65, 0.8]",Good,Good,29781.0,47.4,3.0,49.6,0.4,43.9,13433.0,12500.0,933.0,6.9,47.4,25.5,155182.0,3.4,11156.0,83.8,6.1,5.6,7.4,1000000.0,1698.0
727,Scotts Valley,2014,Santa Cruz,0.7696629213483146,0.7238805970149254,"(0.65, 0.8]",Good,Good,11480.0,39.8,8.9,78.3,0.8,6.7,6150.0,5690.0,460.0,7.5,59.6,24.2,99076.0,3.5,4647.0,55.7,13.2,5.0,5.4,617800.0,1740.0
728,Seal Beach,2014,Orange,0.6726190476190477,0.72568093385214,"(0.65, 0.8]",Good,Good,24157.0,58.1,10.6,77.2,0.3,9.3,9984.0,9320.0,664.0,6.7,40.4,29.0,50958.0,7.7,14502.0,32.6,9.1,8.5,4.2,305700.0,1526.0
729,Seaside,2014,Monterey,0.6442307692307692,0.6964285714285714,"(0.5, 0.65]",Good,Okay,32735.0,30.7,40.3,36.1,8.7,8.3,16828.0,15109.0,1719.0,10.2,66.0,18.8,58403.0,14.1,10925.0,63.3,11.4,2.7,5.0,509800.0,1465.0
730,Selma,2014,Fresno,0.8088235294117647,0.7393364928909953,"(0.8, 1.0]",Good,Great,22939.0,29.9,79.7,13.8,0.9,4.1,10623.0,9457.0,1166.0,11.0,58.2,23.8,42459.0,22.7,6638.0,76.2,2.5,3.5,5.3,213300.0,767.0
731,Shafter,2014,Kern,0.8401162790697674,0.920249653259362,"(0.8, 1.0]",Great,Great,16709.0,25.5,80.0,18.1,0.5,0.1,6367.0,5573.0,794.0,12.5,47.4,23.4,38591.0,21.5,4612.0,75.2,2.5,1.9,5.1,165000.0,692.0
732,Signal Hill,2014,Los Angeles,0.6910112359550562,0.7560975609756098,"(0.65, 0.8]",Good,Good,10842.0,37.1,33.3,25.5,12.8,23.5,6330.0,5553.0,777.0,12.3,66.3,24.6,69946.0,10.8,4330.0,32.6,12.6,23.4,4.4,419200.0,1150.0
733,Simi Valley,2014,Ventura,0.7291666666666667,0.7155963302752293,"(0.65, 0.8]",Good,Good,122864.0,37.4,24.3,62.8,1.0,8.8,68226.0,63677.0,4549.0,6.7,63.7,29.9,89452.0,6.2,41821.0,72.6,7.7,5.7,6.2,493000.0,1679.0
735,Solana Beach,2014,San Diego,0.6460674157303371,0.6826347305389222,"(0.5, 0.65]",Good,Okay,12864.0,45.2,16.8,75.9,2.7,4.0,6970.0,6345.0,625.0,9.0,54.9,21.2,85317.0,7.7,6516.0,48.4,18.8,16.3,5.2,996000.0,1783.0
737,Solvang,2014,Santa Barbara,0.7710843373493976,0.75,"(0.65, 0.8]",Good,Good,5237.0,50.2,20.1,75.5,0.1,1.1,2577.0,2358.0,219.0,8.5,48.0,22.9,61133.0,6.6,2368.0,58.1,4.6,6.6,5.4,682800.0,1285.0
739,Sonora,2014,Tuolumne,0.641025641025641,0.6357142857142857,"(0.5, 0.65]",Okay,Okay,4899.0,40.2,5.1,90.7,1.4,1.0,2413.0,2136.0,277.0,11.5,58.3,24.9,31424.0,17.5,2530.0,58.9,2.3,5.5,4.5,314300.0,674.0
740,South El Monte,2014,Los Angeles,0.8046875,0.8145833333333333,"(0.8, 1.0]",Great,Great,20197.0,30.6,85.7,3.0,0.0,10.7,9343.0,8619.0,724.0,7.7,51.6,28.5,47537.0,17.4,4633.0,71.1,3.4,3.3,4.9,362800.0,1053.0
741,South Lake Tahoe,2014,El Dorado,0.5265957446808511,0.5717213114754098,"(0.5, 0.65]",Okay,Okay,21814.0,35.3,31.3,60.1,0.5,4.3,12995.0,11655.0,1340.0,10.3,70.2,16.8,41685.0,18.4,15584.0,61.6,2.1,4.2,4.5,360600.0,897.0
742,South Pasadena,2014,Los Angeles,0.5909090909090909,0.5316455696202531,"(0.5, 0.65]",Okay,Okay,25465.0,38.0,21.0,42.8,2.0,30.6,14425.0,13496.0,929.0,6.4,66.4,27.7,84914.0,6.1,10972.0,45.1,6.6,13.2,4.8,834400.0,1399.0
743,South San Francisco,2014,San Mateo,0.5144927536231885,0.4722222222222222,"(0.5, 0.65]",Low,Okay,62822.0,37.9,33.7,22.5,2.3,35.5,34226.0,32072.0,2154.0,6.3,62.5,23.7,75543.0,5.6,21923.0,58.3,11.8,10.3,5.1,626200.0,1462.0
744,Stanton,2014,Orange,0.5447761194029851,0.5299145299145299,"(0.5, 0.65]",Okay,Okay,38141.0,32.7,47.7,24.1,2.4,21.8,19639.0,17325.0,2314.0,11.8,60.8,28.4,51933.0,15.9,11936.0,29.7,17.0,17.1,4.3,312000.0,1262.0
745,Stockton,2014,San Joaquin,0.6521739130434783,0.6238095238095238,"(0.65, 0.8]",Okay,Good,289926.0,30.5,40.0,23.3,11.1,21.2,130596.0,110065.0,20531.0,15.7,56.2,27.0,47365.0,22.1,99701.0,65.1,7.2,7.7,5.2,222200.0,936.0
746,Suisun City,2014,Solano,0.7346938775510203,0.5625,"(0.65, 0.8]",Okay,Good,27900.0,33.6,25.6,26.7,19.4,19.7,14571.0,13027.0,1544.0,10.6,61.6,31.4,71411.0,8.9,9526.0,83.2,2.4,3.8,5.8,283400.0,1411.0
747,Sunnyvale,2014,Santa Clara,0.64,0.6325301204819278,"(0.5, 0.65]",Okay,Okay,138436.0,35.6,17.8,36.0,1.7,40.5,77998.0,72004.0,5994.0,7.7,60.7,22.2,93292.0,6.7,55542.0,38.8,8.2,19.9,4.5,710600.0,1483.0
748,Taft,2014,Kern,0.7363636363636363,0.7709677419354839,"(0.65, 0.8]",Good,Good,9413.0,34.2,31.5,62.5,1.5,2.2,2869.0,2589.0,280.0,9.8,44.8,26.9,46136.0,14.1,2645.0,77.5,4.1,1.9,5.6,183400.0,849.0
749,Tehachapi,2014,Kern,0.7663043478260869,0.8035363457760314,"(0.65, 0.8]",Great,Good,14332.0,35.9,32.8,56.3,7.7,0.7,4156.0,3881.0,275.0,6.6,56.6,19.7,46250.0,14.1,3641.0,67.8,2.6,1.2,5.2,173500.0,756.0
750,Temecula,2014,Riverside,0.72,0.6136363636363636,"(0.65, 0.8]",Okay,Good,98189.0,33.3,25.2,56.4,3.5,9.2,48261.0,43110.0,5151.0,10.7,61.3,32.3,76276.0,9.5,32490.0,79.3,2.7,5.5,6.3,342000.0,1431.0
751,Temple City,2014,Los Angeles,0.7153846153846154,0.7733050847457628,"(0.65, 0.8]",Good,Good,35372.0,40.9,17.0,24.4,0.4,56.4,17892.0,16755.0,1137.0,6.4,57.2,30.5,65445.0,8.4,11705.0,82.6,6.4,2.1,5.3,585200.0,1333.0
752,Thousand Oaks,2014,Ventura,0.7066666666666667,0.7094594594594594,"(0.65, 0.8]",Good,Good,125633.0,41.0,16.0,70.8,1.0,9.6,66244.0,61281.0,4963.0,7.5,59.1,24.9,100373.0,6.0,46943.0,68.0,11.1,7.2,6.3,644000.0,1766.0
753,Tracy,2014,San Joaquin,0.7025316455696202,0.7177914110429449,"(0.65, 0.8]",Good,Good,81115.0,31.4,38.0,34.2,5.9,15.7,41041.0,35441.0,5600.0,13.6,63.0,40.3,76739.0,8.9,25503.0,81.5,3.1,3.4,6.2,314900.0,1353.0
754,Trinidad,2014,Humboldt,0.6768292682926829,0.7319587628865979,"(0.65, 0.8]",Good,Good,286.0,48.2,1.7,95.5,0.0,0.0,207.0,194.0,13.0,6.3,75.5,17.5,63438.0,8.7,220.0,67.3,0.0,0.0,4.4,647300.0,817.0
756,Truckee,2014,Nevada,0.780373831775701,0.8218390804597702,"(0.65, 0.8]",Great,Good,16009.0,37.8,18.0,77.8,0.4,1.8,9914.0,8967.0,947.0,9.6,74.8,20.5,68173.0,8.5,12459.0,83.7,1.5,0.8,4.5,475800.0,1350.0
758,Tustin,2014,Orange,0.7622950819672131,0.7378640776699029,"(0.65, 0.8]",Good,Good,74625.0,33.7,37.9,36.9,1.9,20.6,41732.0,38308.0,3424.0,8.2,65.1,22.6,73231.0,10.7,26418.0,35.8,12.9,15.1,4.7,540500.0,1445.0
759,Twentynine Palms,2014,San Bernardino,0.6442307692307692,0.7517630465444287,"(0.5, 0.65]",Good,Okay,25786.0,23.1,19.8,62.7,7.3,3.5,7065.0,6056.0,1009.0,14.3,51.4,14.0,43412.0,12.9,9429.0,60.3,8.5,0.7,4.8,166300.0,927.0
760,Ukiah,2014,Mendocino,0.6730769230769231,0.7061855670103092,"(0.65, 0.8]",Good,Good,15979.0,33.9,27.8,63.5,1.7,2.0,7453.0,6522.0,931.0,12.5,57.9,14.5,45577.0,18.3,6486.0,54.7,7.4,9.5,4.8,324900.0,976.0
761,Union City,2014,Alameda,0.7619047619047619,0.7809734513274336,"(0.65, 0.8]",Good,Good,68830.0,36.5,21.5,14.0,6.1,53.0,35709.0,32848.0,2861.0,8.0,60.0,29.6,82634.0,7.7,21677.0,62.2,14.0,11.5,5.7,536200.0,1359.0
762,Upland,2014,San Bernardino,0.625,0.6317567567567568,"(0.5, 0.65]",Okay,Okay,74021.0,36.1,37.8,44.6,5.2,9.0,38290.0,34415.0,3875.0,10.1,61.7,28.1,67449.0,9.6,26795.0,57.8,6.1,9.8,5.6,450800.0,1165.0
764,Vacaville,2014,Solano,0.6461538461538462,0.725609756097561,"(0.5, 0.65]",Good,Okay,92217.0,37.5,21.7,55.9,10.6,5.7,43009.0,39574.0,3435.0,8.0,65.5,27.0,73302.0,7.7,32473.0,71.7,3.2,5.5,5.7,335400.0,1313.0
765,Vallejo,2014,Solano,0.6636363636363636,0.6991701244813278,"(0.65, 0.8]",Good,Good,116021.0,38.1,23.3,25.1,20.7,23.6,58886.0,51505.0,7381.0,12.5,60.2,33.4,62325.0,15.0,45767.0,66.6,3.0,5.3,5.3,299900.0,1168.0
767,Vernon,2014,Los Angeles,0.8338382830500173,0.7488888888888889,"(0.8, 1.0]",Good,Great,64.0,44.3,70.3,15.6,0.0,10.9,41.0,38.0,3.0,7.3,48.0,26.9,32292.0,18.8,29.0,55.2,10.3,6.9,4.6,241700.0,950.0
768,Victorville,2014,San Bernardino,0.7848837209302325,0.7196428571428571,"(0.65, 0.8]",Good,Good,111704.0,28.8,47.5,30.7,14.6,4.3,43079.0,36542.0,6537.0,15.2,49.9,34.5,52357.0,21.8,34881.0,79.8,0.9,3.7,6.0,172500.0,1091.0
769,Villa Park,2014,Orange,0.7336956521739131,0.7415349887133182,"(0.65, 0.8]",Good,Good,5825.0,48.7,8.1,72.2,0.1,15.0,3024.0,2829.0,195.0,6.4,51.7,22.1,151139.0,2.9,2016.0,98.3,1.2,0.0,8.2,1000000.0,2000.0
770,Vista,2014,San Diego,0.6,0.5960451977401129,"(0.5, 0.65]",Okay,Okay,93293.0,31.6,47.3,43.1,2.5,4.0,44226.0,39966.0,4260.0,9.6,54.8,25.5,50777.0,14.8,31033.0,49.3,7.8,10.1,5.5,380800.0,1234.0
771,Walnut,2014,Los Angeles,0.6944444444444444,0.7275,"(0.65, 0.8]",Good,Good,29269.0,42.1,17.6,13.1,2.6,64.2,14915.0,14115.0,800.0,5.4,56.1,35.3,101358.0,4.9,8566.0,95.3,0.9,1.8,6.7,634100.0,1900.0
772,Wasco,2014,Kern,0.59375,0.7213622291021672,"(0.5, 0.65]",Good,Okay,25457.0,29.0,74.0,15.2,8.5,1.4,8210.0,7093.0,1117.0,13.6,49.1,25.0,40295.0,26.7,5572.0,74.2,2.8,2.7,4.9,157200.0,595.0
773,Watsonville,2014,Santa Cruz,0.7531645569620253,0.7458100558659218,"(0.65, 0.8]",Good,Good,50291.0,29.6,80.1,14.7,0.1,3.4,24276.0,21789.0,2487.0,10.2,60.2,22.1,46073.0,20.4,14494.0,53.1,8.4,6.8,4.7,389800.0,1054.0
775,West Covina,2014,Los Angeles,0.6162790697674418,0.6137724550898203,"(0.5, 0.65]",Okay,Okay,105810.0,35.8,53.6,15.6,4.7,24.5,54115.0,48055.0,6060.0,11.2,59.7,32.3,68308.0,8.9,32640.0,64.6,9.4,16.1,5.5,426100.0,1341.0
776,West Hollywood,2014,Los Angeles,0.6120689655172413,0.6168831168831168,"(0.5, 0.65]",Okay,Okay,34564.0,40.5,12.8,77.3,1.7,4.6,24707.0,22644.0,2063.0,8.3,64.9,27.6,52303.0,14.9,24617.0,8.6,2.2,38.6,3.4,637900.0,1260.0
777,West Sacramento,2014,Yolo,0.7193877551020409,0.6598639455782314,"(0.65, 0.8]",Good,Good,47278.0,32.3,32.9,48.0,5.0,7.9,24224.0,21449.0,2775.0,11.5,63.4,22.2,54040.0,18.9,18575.0,63.7,5.2,6.2,5.1,275500.0,890.0
778,Westlake Village,2014,Los Angeles,0.7350993377483444,0.8283132530120482,"(0.65, 0.8]",Great,Good,8276.0,46.4,8.0,84.8,1.2,4.9,4022.0,3662.0,360.0,9.0,51.7,27.7,113852.0,3.4,3346.0,68.4,19.4,0.8,6.9,812000.0,2000.0
779,Westminster,2014,Orange,0.746031746031746,0.7599277978339349,"(0.65, 0.8]",Good,Good,89440.0,38.4,22.3,27.4,0.8,47.0,44166.0,39477.0,4689.0,10.6,55.6,26.5,56867.0,13.7,28361.0,54.6,8.3,10.0,5.0,491500.0,1300.0
780,Whittier,2014,Los Angeles,0.7314814814814815,0.7114803625377644,"(0.65, 0.8]",Good,Good,85161.0,34.6,66.2,27.3,0.9,3.3,43132.0,39350.0,3782.0,8.8,59.3,29.0,68055.0,10.1,28639.0,65.1,3.7,9.0,5.1,473400.0,1147.0
781,Willits,2014,Mendocino,0.42553191489361697,0.4473684210526315,"(0.0, 0.5]",Low,Low,4896.0,39.6,22.1,73.7,0.2,0.0,2519.0,2216.0,303.0,12.0,60.2,14.1,41195.0,22.8,2215.0,56.7,4.3,12.0,5.0,263200.0,868.0
782,Winters,2014,Yolo,0.6454545454545455,0.6794871794871795,"(0.5, 0.65]",Good,Okay,6616.0,30.8,49.8,42.3,0.0,3.8,3502.0,3055.0,447.0,12.8,62.5,26.5,59559.0,9.5,2146.0,74.6,4.7,3.8,5.8,297300.0,1009.0
783,Woodlake,2014,Tulare,0.621951219512195,0.5621890547263682,"(0.5, 0.65]",Okay,Okay,7252.0,26.6,86.8,10.2,0.0,0.4,3233.0,2735.0,498.0,15.4,56.6,22.7,32016.0,26.1,1995.0,71.3,5.9,3.7,5.0,137500.0,580.0
784,Woodland,2014,Yolo,0.5701754385964912,0.5482758620689655,"(0.5, 0.65]",Okay,Okay,55229.0,34.6,44.8,44.9,1.2,6.4,28081.0,25388.0,2693.0,9.6,60.1,21.3,56859.0,11.3,20551.0,64.3,5.2,9.5,5.3,319500.0,955.0
787,Yorba Linda,2014,Orange,0.7179487179487178,0.6729651162790697,"(0.65, 0.8]",Good,Good,63578.0,41.3,14.5,65.0,1.4,15.3,33961.0,31976.0,1985.0,5.8,59.4,31.1,115291.0,2.7,21919.0,78.7,9.5,2.6,6.8,724600.0,1799.0
789,Yucaipa,2014,San Bernardino,0.6888888888888889,0.6743827160493827,"(0.65, 0.8]",Good,Good,50862.0,36.2,26.3,66.2,1.8,2.4,24519.0,21529.0,2990.0,12.2,57.8,28.5,59596.0,10.3,19307.0,69.5,2.2,1.1,5.6,272500.0,987.0
790,Yucca Valley,2014,San Bernardino,0.7826086956521738,0.760047281323877,"(0.65, 0.8]",Good,Good,20508.0,38.0,14.1,77.6,2.3,2.4,8514.0,7508.0,1006.0,11.8,47.9,26.3,45502.0,15.5,9416.0,78.3,2.5,1.0,5.2,183300.0,888.0
794,Citrus Heights,2014,Sacramento,0.6428571428571428,0.5828877005347594,"(0.5, 0.65]",Okay,Okay,84112.0,37.1,16.5,74.3,2.9,2.6,45168.0,39822.0,5346.0,11.8,62.7,25.9,54575.0,12.1,34790.0,55.8,8.8,6.1,5.2,236600.0,1026.0
796,Laguna Woods,2014,Orange,0.6282051282051282,0.6666666666666667,"(0.5, 0.65]",Good,Okay,16276.0,77.1,3.8,84.9,0.9,9.5,3601.0,3254.0,347.0,9.6,20.8,23.6,35393.0,8.0,13051.0,6.0,27.7,18.7,4.2,217400.0,1415.0
797,Oakley,2014,Contra Costa,0.6891891891891893,0.6770270270270271,"(0.65, 0.8]",Good,Good,34410.0,32.1,39.7,44.8,6.4,5.4,16840.0,15049.0,1791.0,10.6,59.9,38.6,78102.0,8.2,11267.0,88.9,2.0,2.1,6.2,276700.0,1445.0
805,Elk Grove,2014,Sacramento,0.771186440677966,0.7418181818181818,"(0.65, 0.8]",Good,Good,146537.0,33.3,19.4,37.8,10.7,24.9,75113.0,68197.0,6916.0,9.2,66.7,31.0,78564.0,8.8,48225.0,86.9,3.0,2.8,6.4,312300.0,1446.0
806,Rancho Santa Margarita,2014,Orange,0.65625,0.6729559748427674,"(0.65, 0.8]",Good,Good,47769.0,34.6,16.9,68.0,1.4,10.5,26347.0,24819.0,1528.0,5.8,64.5,27.5,104167.0,3.1,16985.0,54.7,19.5,9.9,5.7,571500.0,1667.0
807,Aliso Viejo,2014,Orange,0.696969696969697,0.7287234042553192,"(0.65, 0.8]",Good,Good,47037.0,35.6,17.0,62.7,3.3,13.4,28885.0,27079.0,1806.0,6.3,74.2,25.8,99095.0,4.2,19135.0,37.3,27.0,13.0,4.9,512300.0,1842.0
809,Rancho Cordova,2014,Sacramento,0.6933333333333334,0.6325301204819278,"(0.65, 0.8]",Okay,Good,64072.0,32.8,20.1,52.6,8.6,12.4,33408.0,28723.0,4685.0,14.0,62.7,24.4,53878.0,16.0,25437.0,56.4,6.2,9.7,5.1,233400.0,973.0
815,Adelanto,2015,San Bernardino,0.7681159420289855,0.7647783251231527,"(0.65, 0.8]",Good,Good,31040.0,24.1,54.1,16.9,21.2,2.4,9648.0,7333.0,2315.0,24.0,40.6,40.4,41113.0,32.0,8521.0,79.6,1.5,3.7,5.6,104400.0,1012.0
816,Agoura Hills,2015,Los Angeles,0.5071428571428571,0.5986842105263158,"(0.5, 0.65]",Okay,Okay,20431.0,44.4,10.8,79.1,1.4,6.0,11298.0,10298.0,1000.0,8.9,65.6,28.3,110716.0,5.4,7690.0,68.7,13.3,7.9,6.6,689700.0,1868.0
817,Alameda,2015,Alameda,0.7909090909090909,0.8341121495327103,"(0.65, 0.8]",Great,Good,74023.0,40.0,12.3,43.6,6.5,31.6,41186.0,37573.0,3613.0,8.8,64.9,28.2,77249.0,9.4,31735.0,42.8,10.3,16.4,4.7,628600.0,1334.0
819,Albany,2015,Alameda,0.8200000000000001,0.7849740932642487,"(0.8, 1.0]",Good,Great,18493.0,36.1,9.6,51.1,2.8,29.9,9582.0,8920.0,662.0,6.9,62.3,28.5,73728.0,10.4,7847.0,50.9,3.8,16.8,4.6,626000.0,1535.0
820,Alhambra,2015,Los Angeles,0.6710526315789473,0.7048611111111112,"(0.65, 0.8]",Good,Good,83513.0,39.8,33.8,10.6,1.6,52.7,44837.0,41393.0,3444.0,7.7,60.3,28.8,53917.0,13.4,31105.0,43.1,12.8,10.6,4.3,484900.0,1185.0
822,Alturas,2015,Modoc,0.6029411764705882,0.6724137931034483,"(0.5, 0.65]",Good,Okay,2792.0,42.1,9.7,82.2,1.1,0.0,1274.0,1137.0,137.0,10.8,60.6,9.2,35944.0,26.2,1348.0,82.1,0.8,1.0,5.1,134100.0,591.0
823,American Canyon,2015,Napa,0.7246376811594204,0.7764705882352941,"(0.65, 0.8]",Good,Good,19127.0,36.3,24.0,29.3,7.0,33.7,9789.0,8895.0,894.0,9.1,64.6,32.5,83609.0,7.4,5630.0,79.1,0.7,3.6,6.2,337900.0,1745.0
824,Anaheim,2015,Orange,0.5975609756097561,0.5981595092024541,"(0.5, 0.65]",Okay,Okay,337471.0,32.4,52.8,27.6,2.4,14.8,174794.0,154538.0,20256.0,11.6,60.5,26.7,59627.0,15.6,104323.0,43.7,8.8,18.3,4.6,415900.0,1339.0
825,Antioch,2015,Contra Costa,0.6428571428571428,0.6380090497737556,"(0.5, 0.65]",Okay,Okay,102575.0,33.5,33.0,33.9,17.0,10.6,50636.0,44064.0,6572.0,13.0,58.4,38.8,65494.0,14.5,35410.0,77.1,4.5,5.4,6.0,251900.0,1269.0
826,Apple Valley,2015,San Bernardino,0.7272727272727273,0.7388888888888889,"(0.65, 0.8]",Good,Good,69155.0,36.3,29.0,57.8,9.3,2.2,28818.0,24203.0,4615.0,16.0,50.8,29.0,48491.0,20.8,25882.0,75.7,2.8,1.1,5.8,191500.0,962.0
827,Arcadia,2015,Los Angeles,0.7096774193548387,0.7374429223744292,"(0.65, 0.8]",Good,Good,56497.0,42.0,11.8,27.2,1.4,56.8,28042.0,26377.0,1665.0,5.9,54.8,29.4,77342.0,9.9,20290.0,59.7,12.8,8.6,5.5,776200.0,1413.0
828,Arcata,2015,Humboldt,0.6756756756756757,0.6746031746031746,"(0.65, 0.8]",Good,Good,17421.0,26.0,13.0,75.6,1.9,2.3,9225.0,8028.0,1197.0,13.0,59.0,14.8,32097.0,33.7,7501.0,45.2,4.5,7.5,4.3,340500.0,912.0
829,Arvin,2015,Kern,0.55,0.35220125786163514,"(0.5, 0.65]",Low,Okay,19298.0,23.7,88.8,8.5,0.5,1.3,8166.0,6979.0,1187.0,14.5,49.4,23.9,30719.0,36.3,4889.0,69.4,2.8,3.4,5.0,99800.0,788.0
830,Atherton,2015,San Mateo,0.7587719298245614,0.7965235173824131,"(0.65, 0.8]",Good,Good,6972.0,46.4,5.2,80.3,0.2,9.4,2591.0,2372.0,219.0,8.5,35.9,22.5,228393.0,4.9,2466.0,98.9,1.1,0.0,9.0,1000000.0,2000.0
831,Auburn,2015,Placer,0.7162162162162162,0.6273584905660377,"(0.65, 0.8]",Okay,Good,13502.0,45.3,5.8,86.7,1.4,1.3,6625.0,5891.0,734.0,11.1,53.2,23.8,59238.0,12.1,6222.0,63.3,6.4,8.5,5.3,375900.0,987.0
